Time,Set Temperature,Ventilation Temperature,Supply Air Temperature,Supply Fan,Valve Position,Heating Supply Temperature 1,Heating Supply Temperature 2,Total Heating Pump,Heating Pump 1,Heating Pump 2,Backup Heating Pump,Labeling,
2024-01-26 12,24,18.43,34.19,1,62.73,40.69,39.8,2,0,1,1,Sensor fault,
2024-01-26 13,24,18.36,34.17,1,62.73,40.66,39.83,2,0,1,1,Sensor fault,
2024-01-26 14,24,18.59,34.33,1,62.73,40.74,39.92,2,0,1,1,Sensor fault,
2024-01-26 15,24,19.1,34.44,1,62.73,40.58,39.85,2,0,1,1,Sensor fault,
2024-01-26 16,24,19.39,34.56,1,62.73,40.7,39.81,1.75,0,0.75,1,Sensor fault,
2024-01-26 17,24,19.01,30.86,1,62.73,39.29,32.95,1,0,0,1,Sensor fault,
2024-01-26 18,24,17.61,27.4,1,62.73,35.85,29.65,1,0,0,1,Sensor fault,
2024-01-26 19,24,17.9,25.73,0.6,62.73,33.58,26.57,1,0,0,1,Sensor fault,
2024-01-27 07,24,9.81,13.47,0,9.94,20.34,18.96,1,0,0,1,Fan fault,
2024-01-27 08,24,9.64,13.29,0,9.94,20.21,19.07,1,0,0,1,Fan fault,
2024-01-27 09,24,9.25,13.3,0,9.94,20.08,19.18,1,0,0,1,Fan fault,
2024-01-27 10,24,9.11,13.31,0,9.94,19.95,19.19,1,0,0,1,Fan fault,
2024-01-27 11,24,9.04,13.4,0,9.95,19.82,19.3,1,0,0,1,Fan fault,
2024-01-27 12,24,9.12,13.33,0,9.95,19.73,19.12,1,0,0,1,Fan fault,
2024-01-27 13,24,9.14,13.33,0,9.94,19.68,19.22,1,0,0,1,Fan fault,
2024-01-27 14,24,9.28,13.57,0,9.94,19.68,19.25,1,0,0,1,Fan fault,
2024-01-27 15,24,9.32,13.62,0,9.94,19.68,19.16,1,0,0,1,Fan fault,
2024-01-27 16,24,9.32,13.3,0,9.95,19.64,19.23,1,0,0,1,Fan fault,
2024-01-27 17,24,9.4,13.33,0,9.95,20.3,19.19,1,0,0,1,Fan fault,
2024-01-27 18,24,9.45,13.3,0,9.95,21,19.27,1,0,0,1,Fan fault,
2024-01-27 19,24,9.32,13.31,0,9.95,20.72,19.23,1,0,0,1,Fan fault,
2024-01-28 07,24,9.53,13.24,0,9.94,19.57,19.4,1,0,0,1,Fan fault,
2024-01-28 08,24,9.58,13.12,0,9.94,20.69,19.33,1,0,0,1,Fan fault,
2024-01-28 09,24,9.02,13.11,0,9.94,20.84,19.28,1,0,0,1,Fan fault,
2024-01-28 10,24,8.89,13.09,0,9.95,20.65,19.29,1,0,0,1,Fan fault,
2024-01-28 11,24,8.86,13.18,0,9.94,20.49,19.26,1,0,0,1,Fan fault,
2024-01-28 12,24,8.95,13.26,0,9.94,20.34,19.28,1,0,0,1,Fan fault,
2024-01-28 13,24,9.02,13.24,0,9.94,20.22,19.23,1,0,0,1,Fan fault,
2024-01-28 14,24,9.03,13.46,0,9.94,20.09,19.28,1,0,0,1,Fan fault,
2024-01-28 15,24,9.07,13.25,0,9.94,19.99,19.28,1,0,0,1,Fan fault,
2024-01-28 16,24,9.16,13.25,0,9.94,19.88,19.24,1,0,0,1,Fan fault,
2024-01-28 17,24,9.11,13.18,0,9.95,19.78,19.18,1,0,0,1,Fan fault,
2024-01-28 18,24,9.14,13.48,0,9.95,19.71,19.26,1,0,0,1,Fan fault,
2024-01-28 19,24,9.12,13.29,0,9.95,19.69,19.34,1,0,0,1,Fan fault,
2024-01-29 07,24,14.18,29.11,0.5,74.26,33.79,43.22,1,0,0,1,Sensor fault,
2024-01-29 08,24,17.04,35.78,1,99.98,39.78,39.55,1.5,0,0.5,1,Sensor fault,
2024-01-29 09,24,17.58,36.85,1,99.98,40.75,39.76,2,0,1,1,Sensor fault,
2024-01-29 10,24,17.87,36.9,1,99.98,40.67,39.66,1.4,0,0.6,0.8,Sensor fault,
2024-01-29 11,24,18.59,39.07,1,99.98,45.99,44.11,1,0,0,1,Sensor fault,
2024-01-29 12,24,20,45.24,1,99.98,47.1,50.09,1,0,0,1,Sensor fault,
2024-01-29 13,24,20.64,45.3,0.8,99.98,47.78,49.95,1,0,0,1,Sensor fault,
2024-01-29 14,24,20.88,44.1,0.5,99.98,48.73,49.63,1,0,0,1,Sensor fault,
2024-01-29 15,24,18.95,41.38,0,99.98,49.02,49.39,1,0,0,1,Fan fault,
2024-01-29 16,24,17.66,40.97,0,99.98,49.12,49.24,1,0,0,1,Fan fault,
2024-01-29 17,24,17.26,40.7,0,99.98,49.43,49.53,1,0,0,1,Fan fault,
2024-01-29 18,24,16.83,40.75,0,99.98,49.26,49.66,1,0,0,1,Fan fault,
2024-01-29 19,24,16.68,38.81,0,99.98,49.05,44.23,1,0,0,1,Fan fault,
2024-01-30 06,24,13.03,26.79,0.25,99.98,36.82,39.75,1,0,0,1,Sensor fault,
2024-01-30 07,24,17.56,35.56,1,99.98,37.96,39.75,1,0,0,1,Sensor fault,
2024-01-30 08,24,18.62,36.14,1,99.98,38.42,39.85,1,0,0,1,Sensor fault,
2024-01-30 09,24,19.15,36.25,1,99.98,38.79,39.91,1,0,0,1,Sensor fault,
2024-01-30 10,24,19.82,36.49,1,99.98,39.27,39.84,1,0,0,1,Sensor fault,
2024-01-30 11,24,20.29,36.88,1,99.98,39.37,39.8,1,0,0,1,Sensor fault,
2024-01-30 12,24,20.62,37.03,1,99.98,39.44,39.87,1,0,0,1,Sensor fault,
2024-01-31 07,24,14.01,25.83,0.5,99.98,32.7,37.32,1,0,0,1,Sensor fault,
2024-01-31 08,24,19.06,36.45,1,99.98,37.5,39.78,1,0,0,1,Sensor fault,
2024-01-31 09,24,20.14,36.85,1,99.98,38.31,39.93,1,0,0,1,Sensor fault,
2024-01-31 10,24,20.94,38.41,1,78.7,42.13,44.6,1,0,0,1,Sensor fault,
2024-01-02 17,18,14.74,36.79,0,10.1,42.68,42.6,2,1,0,1,Fan fault,
2024-01-04 13,18,14.28,37.14,0,10.18,43.95,40.54,1,0,1,0,Fan fault,
2024-01-04 14,18,14.58,37.33,0,10.18,43.87,41.36,1,0,1,0,Fan fault,
2024-01-04 15,18,14.78,37.48,0,10.18,43.8,41.82,1,0,1,0,Fan fault,
2024-01-04 16,18,14.99,37.41,0,10.18,43.98,42.06,1,0,1,0,Fan fault,
2024-01-04 17,18,14.65,37.49,0,10.18,44.01,42.25,1,0,1,0,Fan fault,
2024-01-04 18,18,14.72,37.6,0,10.18,43.95,42.33,1,0,1,0,Fan fault,
2024-01-05 07,18,13.69,20.06,0.25,21.03,31.73,26.24,0.25,0,0.25,0,Sensor fault,
2024-01-07 06,22,16.01,37.3,0.25,18.23,42.97,42.35,2,0,1,1,Sensor fault,
2024-01-08 21,22,16.94,37.55,0.25,27,43.34,42.69,1,0,0,1,Sensor fault,
2024-01-10 04,22,15.9,37.75,0.25,24.7,42.45,42.24,1,0,0,1,Sensor fault,
2024-01-10 19,22,14.86,35.25,0.25,31.55,39.94,39.73,1.17,0.17,0,1,Sensor fault,
2024-01-10 20,22,18.97,33.26,1,63.85,33.91,48.7,1.5,0,0.5,1,Sensor fault,
2024-01-11 07,22,15.1,35.24,0.5,34.53,39.98,39.13,1,0,1,0,Sensor fault,
2024-01-11 15,22,18.18,35.2,0.5,16.72,40.9,38.7,1,0,1,0,Sensor fault,
2024-01-11 16,22,15.79,35.42,0.25,18.15,40.88,38.55,1,0,1,0,Sensor fault,
2024-01-12 07,22,15.15,31.67,0.5,42.33,40.94,35.37,1,0,0,1,Sensor fault,
2024-01-12 15,22,15.83,35.86,0.5,32.5,40.73,38.96,1,0,0,1,Sensor fault,
2024-01-15 05,22,14.44,33.99,0.5,42.77,40.4,34.46,1,0,0,1,Sensor fault,
2024-01-15 06,22,18.13,37.35,1,67.43,41.16,37.52,1,0,0,1,Sensor fault,
2024-01-15 07,22,17.68,38.92,0.8,53.05,43.48,42.17,1.5,0,0.5,1,Sensor fault,
2024-01-15 12,20,15,35.92,0.25,9.92,40.72,43.86,1,0,0,1,Sensor fault,
2024-01-25 08,24,19.38,42.03,1,76.69,58.84,45.46,1,0,0,1,Sensor fault,
2024-01-25 09,24,19.9,41.01,1,67.46,52.42,44.85,1,0,0,1,Sensor fault,
2024-01-25 10,24,19.93,41.08,1,67.47,49.87,44.82,1,0,0,1,Sensor fault,
2024-01-25 11,24,20.26,41.14,1,67.47,48.34,44.95,1,0,0,1,Sensor fault,
2024-01-25 12,24,20.55,41.42,1,67.47,47.32,44.82,1,0,0,1,Sensor fault,
2024-01-25 13,24,20.62,41.43,1,67.47,46.58,44.99,1,0,0,1,Sensor fault,
2024-01-25 14,24,20.76,41.51,1,67.29,46.03,44.9,1,0,0,1,Sensor fault,
2024-01-25 15,24,20.59,41.17,0.75,50.06,45.53,42.56,1,0,0,1,Sensor fault,
2024-01-25 16,24,16.66,34.72,0,9.97,43.26,34.66,1,0,0,1,Fan fault,
2024-01-25 17,24,13.99,29.44,0,9.97,39.83,34.88,1,0,0,1,Fan fault,
2024-01-25 18,24,13.08,27.88,0,9.97,38.18,34.76,1,0,0,1,Fan fault,
2024-01-25 19,24,12.78,27.11,0,9.97,37.24,33.66,1,0,0,1,Fan fault,
